date,keyword,counts
1/30/22,Samsung,25
1/30/22,laptop,38
1/30/22,mechanical keyboard,1
1/30/22,noise cancelling headphones,1
1/30/22,smartphone,1
1/30/22,smartwatch,2
2/6/22,Apple,62
2/6/22,Logitech,3
2/6/22,NVIDIA,3
2/6/22,OLED monitor,0
2/6/22,Samsung,28
2/6/22,laptop,38
2/6/22,mechanical keyboard,1
2/6/22,noise cancelling headphones,1
2/6/22,smartphone,1
2/6/22,smartwatch,2
2/13/22,Apple,61
2/13/22,Logitech,2
2/13/22,NVIDIA,4
2/13/22,OLED monitor,0
2/13/22,Samsung,27
2/13/22,laptop,41
2/13/22,mechanical keyboard,1
2/13/22,noise cancelling headphones,1
2/13/22,smartphone,1
2/13/22,smartwatch,2
2/20/22,Apple,60
2/20/22,Logitech,2
2/20/22,NVIDIA,4
2/20/22,OLED monitor,0
2/20/22,Samsung,28
2/20/22,laptop,41
2/20/22,mechanical keyboard,1
2/20/22,noise cancelling headphones,1
2/20/22,smartphone,1
2/20/22,smartwatch,2
2/27/22,Apple,58
2/27/22,Logitech,2
2/27/22,NVIDIA,4
2/27/22,OLED monitor,0
2/27/22,Samsung,27
2/27/22,laptop,38
2/27/22,mechanical keyboard,1
2/27/22,noise cancelling headphones,1
2/27/22,smartphone,1
2/27/22,smartwatch,2
3/6/22,Apple,63
3/6/22,Logitech,3
3/6/22,NVIDIA,3
3/6/22,OLED monitor,0
3/6/22,Samsung,25
3/6/22,laptop,40
3/6/22,mechanical keyboard,1
3/6/22,noise cancelling headphones,1
3/6/22,smartphone,1
3/6/22,smartwatch,2
3/13/22,Apple,58
3/13/22,Logitech,3
3/13/22,NVIDIA,4
3/13/22,OLED monitor,0
3/13/22,Samsung,25
3/13/22,laptop,41
3/13/22,mechanical keyboard,1
3/13/22,noise cancelling headphones,1
3/13/22,smartphone,1
3/13/22,smartwatch,2
3/20/22,Apple,62
3/20/22,Logitech,3
3/20/22,NVIDIA,4
3/20/22,OLED monitor,0
3/20/22,Samsung,26
3/20/22,laptop,41
3/20/22,mechanical keyboard,1
3/20/22,noise cancelling headphones,1
3/20/22,smartphone,1
3/20/22,smartwatch,2
3/27/22,Apple,58
3/27/22,Logitech,2
3/27/22,NVIDIA,3
3/27/22,OLED monitor,0
3/27/22,Samsung,23
3/27/22,laptop,39
3/27/22,mechanical keyboard,1
3/27/22,noise cancelling headphones,1
3/27/22,smartphone,1
3/27/22,smartwatch,1
4/3/22,Apple,58
4/3/22,Logitech,2
4/3/22,NVIDIA,3
4/3/22,OLED monitor,0
4/3/22,Samsung,24
